campaña,tasa_conversión
B,4.8
B,3.4
B,4.2
B,4.1
A,2.9
C,2.0
A,2.7
B,3.8
B,3.8
C,3.2
C,2.6
B,4.3
A,2.5
B,3.8
B,4.4
B,4.2
C,2.2
B,4.4
C,1.7
B,3.3
C,2.5
B,4.8
B,4.5
B,4.9
B,5.4
C,3.1
C,2.1
B,4.6
B,3.7
B,4.8
C,2.4
A,3.3
B,5.8
B,4.2
B,4.6
B,3.9
A,2.6
A,2.4
C,3.1
A,2.9
C,3.0
C,2.7
A,2.3
C,2.9
C,2.5
B,4.1
B,4.3
B,4.4
C,2.3
A,1.9
B,4.1
C,2.3
B,4.2
C,2.4
C,2.4
A,3.4
C,2.2
A,2.4
A,3.1
B,5.2
B,3.8
A,3.7
C,1.4
C,2.2
B,4.4
B,4.5
B,5.3
A,1.6
A,3.0
C,2.3
C,3.1
C,2.4
A,4.3
A,4.5
C,2.2
C,2.0
C,3.2
A,3.1
A,2.9
A,4.7
B,3.9
C,2.0
C,2.3
B,5.0
C,2.8
B,4.3
C,1.5
A,3.6
C,2.8
C,2.3
C,2.8
A,2.8
A,2.6
A,2.4
A,3.3
C,2.8
C,2.5
A,2.6
B,5.6
C,2.0
B,4.6
C,1.9
B,5.3
A,3.2
C,2.8
B,4.2
A,3.9
C,2.2
A,3.5
A,3.9
A,2.3
B,3.6
A,3.2
B,3.2
A,2.7
B,5.4
C,2.0
B,3.7
B,4.7
B,4.1
A,3.8
B,4.6
B,4.1
C,3.2
A,3.3
B,4.3
A,2.6
C,2.2
B,4.2
C,2.1
C,2.4
A,2.9
B,3.5
B,4.4
B,4.7
B,3.6
C,2.6
A,2.8
C,2.7
A,2.7
B,3.9
B,4.1
B,3.3
A,3.7
A,3.2
C,2.8
B,4.8
B,3.3
C,2.8
A,2.1
A,3.3
B,4.8
C,2.3
B,4.2
B,4.1
A,4.1
C,2.2
B,3.9
B,4.4
A,2.9
B,3.1
A,3.7
A,3.6
A,2.7
C,2.3
B,3.5
C,1.8
C,2.8
A,3.8
A,2.8
A,3.0
C,2.5
C,2.3
A,3.7
A,4.0
B,4.0
C,2.2
A,2.3
A,3.2
B,3.9
C,1.8
B,3.0
B,4.8
B,4.4
A,3.5
B,4.2
A,4.1
B,4.2
B,3.9
A,2.8
A,3.8
A,3.1
A,2.9
A,2.9
A,4.4
C,3.4
C,1.8
A,4.0
C,2.6
A,3.4
C,1.8
C,2.5
A,2.4
C,2.1
A,4.2
B,4.5
B,4.7
A,3.1
B,5.3
B,4.6
B,5.3
A,3.3
A,3.7
C,2.3
A,3.0
A,3.7
B,5.4
C,2.4
B,3.7
A,3.3
A,2.7
A,3.5
A,4.4
B,4.4
C,2.6
B,3.9
A,3.1
A,2.9
A,3.8
A,4.0
B,4.4
C,2.0
B,5.6
C,2.8
A,1.4
B,3.6
A,2.7
B,4.6
C,2.4
A,3.1
B,4.4
C,2.2
A,2.7
A,4.0
C,2.7
C,3.4
B,4.0
A,4.1
B,4.8
B,4.0
B,4.3
C,2.1
B,4.4
A,3.5
C,2.4
C,4.0
B,2.5
C,2.1
C,1.6
B,4.5
B,4.5
B,3.8
B,4.7
A,3.6
A,2.6
B,4.6
B,4.7
B,4.6
A,2.6
A,2.4
B,3.3
A,2.0
B,2.0
A,2.1
C,1.9
A,4.4
C,1.7
B,4.3
C,1.8
C,1.8
A,2.3
B,3.6
C,3.2
A,3.7
A,4.1
B,4.1
B,4.1
A,3.6
C,3.4
A,2.4
B,4.4
C,2.7
A,2.3
B,5.0
C,2.3
C,3.4
C,2.7
A,1.8
C,2.9
C,1.7
A,3.7
B,4.4
A,3.8
A,3.2
C,3.1
A,3.4
A,3.0
B,4.9
C,2.8
C,1.9
B,3.3
C,2.6
A,3.6
B,4.2
A,2.8
C,3.0
B,4.5
B,5.4
C,2.0
C,2.4
A,3.0
A,2.6
C,2.0
C,3.0
C,2.4
A,3.6
B,4.7
A,3.3
A,2.5
A,2.0
A,2.6
A,4.4
C,2.9
C,1.9
A,3.7
B,4.7
B,4.1
A,3.4
C,1.6
B,4.5
C,2.6
A,1.9
A,3.3
B,4.1
B,4.5
B,4.5
B,3.7
A,2.8
B,4.2
A,2.9
C,1.6
C,2.3
A,2.3
B,3.9
A,2.2
A,2.1
B,3.4
C,2.5
B,4.5
B,4.2
C,3.5
B,2.8
C,2.3
C,2.8
C,1.9
A,2.2
B,4.0
A,3.5
B,3.6
C,2.4
B,4.5
